mintore_name,aid,kata,name,rarity,item_type,game
MエルレイドEX SR: 1ED [XY6 081/078],107421,081/078,MエルレイドEX SR :1ED,,single,ポケカ
MエルレイドEX UR [100/108]【英語版】,504688,100/108,MエルレイドEX,UR,single,ポケカ
MオニゴーリEX RR [XY8 015/059],389872,015/059,MオニゴーリEX,RR,single,ポケカ
MオニゴーリEX RR: 1ED [XY8 015/059],389871,015/059,MオニゴーリEX RR :1ED,,single,ポケカ
MオニゴーリEX SR [XY8 061/059],389959,061/059,MオニゴーリEX,SR,single,ポケカ
MオニゴーリEX SR: 1ED [XY8-B 061/059],107363,061/059,MオニゴーリEX SR :1ED,,single,ポケカ
MオニゴーリEX UR [156/162]【英語版】,504626,156/162,MオニゴーリEX,UR,single,ポケカ
MカメックスEX RR [XY1 015/060]【】,379819,015/060,MカメックスEX,RR,single,ポケカ
MカメックスEX RR: 1ED [CP6 022/087],106316,022/087,MカメックスEX RR :1ED,,single,ポケカ
MカメックスEX RR: 1ED [XY1 015/060]【】,379818,015/060,MカメックスEX RR :1ED,,single,ポケカ
MカメックスEX SR: 1ED [CP6 093/087],91465,093/087,MカメックスEX SR :1ED,,single,ポケカ
MカメックスEX UR [102/108]【英語版】,504583,102/108,MカメックスEX,UR,single,ポケカ
MカメックスEX [20th 074/072],381495,074/072,MカメックスEX,,single,ポケカ
MガブリアスEX P [XY-P],413484,XY-P/XY-P,MガブリアスEX,P,single,ポケカ
MガブリアスEX P [XY168]【英語版】,509332,XY168,MガブリアスEX,P,single,ポケカ
MガルーラEX HR [109/106]【英語版】,505015,109/106,MガルーラEX,HR,single,ポケカ
MガルーラEX RR [XY2 065/080],380766,065/080,MガルーラEX,RR,single,ポケカ
MガルーラEX RR: 1ED [XY2 065/080],380765,065/080,MガルーラEX RR :1ED,,single,ポケカ
MガルーラEX UR: 1ED [XY2 090/080],91548,090/080,MガルーラEX UR :1ED,,single,ポケカ
MガルーラEX [CP4 094/131],391116,094/131,MガルーラEX,,single,ポケカ
MギャラドスEX RR [XY9 019/080],390769,019/080,MギャラドスEX,RR,single,ポケカ
MギャラドスEX RR: 1ED [XY9 019/080],107349,019/080,MギャラドスEX RR :1ED,,single,ポケカ
MギャラドスEX SR: 1ED [XY9 082/080],91501,082/080,MギャラドスEX SR :1ED,,single,ポケカ
MギャラドスEX UR [115/122]【英語版】,504615,115/122,MギャラドスEX,UR,single,ポケカ
MクチートEX P [XY-P 186],413372,186/XY-P,MクチートEX,P,single,ポケカ
MクチートEX P [XY104]【英語版】,509311,XY104,MクチートEX,P,single,ポケカ
Mゲンガー [MMB 011/049],381063,011/049,Mゲンガー,,single,ポケカ
MゲンガーEX HR [121/119]【英語版】,504889,121/119,MゲンガーEX,HR,single,ポケカ
MゲンガーEX P [XY-P 079],411732,079/XY-P,MゲンガーEX,P,single,ポケカ
MゲンガーEX P [XY166]【英語版】,509331,XY166,MゲンガーEX,P,single,ポケカ
MゲンガーEX RR [XY4 034/088],390547,034/088,MゲンガーEX,RR,single,ポケカ
MゲンガーEX RR: 1ED [XY4 034/088],390546,034/088,MゲンガーEX RR :1ED,,single,ポケカ
MゲンガーEX UR: 1ED [XY4 097/088],91538,097/088,MゲンガーEX UR :1ED,,single,ポケカ
MゲンガーEX [CP4 049/131],391071,049/131,MゲンガーEX,,single,ポケカ
MサチコEX: プロモ [XY-P 298/XY-P],93121,298/XY-P,MサチコEX,プロモ,single,ポケカ
MサメハダーEX P [XY200]【英語版】,509337,XY200,MサメハダーEX,P,single,ポケカ
MサメハダーEX P [XY200a]【英語版】,509278,XY200A,MサメハダーEX,P,single,ポケカ
MサメハダーEX [XY 071/171],385924,071/171,MサメハダーEX,,single,ポケカ
MサメハダーEX [XY-BEST 178/171],106273,178/171,MサメハダーEX,,single,ポケカ
MサーナイトEX RR [XY11 039/054],768282,039/054,MサーナイトEX,RR,single,ポケカ
MサーナイトEX RR [XY5 051/070],381834,051/070,MサーナイトEX,RR,single,ポケカ
MサーナイトEX RR: 1ED [CP3 020/032],91491,020/032,MサーナイトEX RR :1ED,,single,ポケカ
MサーナイトEX RR: 1ED [XY11-1 039/054],106689,039/054,MサーナイトEX RR :1ED,,single,ポケカ
MサーナイトEX RR: 1ED [XY5-T 051/070],107432,051/070,MサーナイトEX RR :1ED,,single,ポケカ
MサーナイトEX SR [XY5 076/070],381877,076/070,MサーナイトEX,SR,single,ポケカ
MサーナイトEX SR: 1ED [XY11-1 057/054],91476,057/054,MサーナイトEX SR :1ED,,single,ポケカ
MサーナイトEX SR: 1ED [XY5-T 076/070],91529,076/070,MサーナイトEX SR :1ED,,single,ポケカ
MサーナイトEX UR [112/114]【英語版】,504599,112/114,MサーナイトEX,UR,single,ポケカ
MサーナイトEX UR [156/160]【英語版】,504786,156/160,MサーナイトEX,UR,single,ポケカ
MサーナイトEX [106/160]【英語版】,895668,106/160,MサーナイトEX,,single,ポケカ
MサーナイトEX [BW 016/048],635059,016/048,MサーナイトEX,,single,ポケカ
MサーナイトEX [M6a 156/103],892654,156/103,MサーナイトEX,,single,ポケカ
MサーナイトEX [XY 092/171],385944,092/171,MサーナイトEX,,single,ポケカ
MジュカインEX RR [XY7 008/081],385374,008/081,MジュカインEX,RR,single,ポケカ
MジュカインEX RR: 1ED [XY7 008/081],385373,008/081,MジュカインEX RR :1ED,,single,ポケカ
MジュカインEX SR [XY7 083/081],385522,083/081,MジュカインEX,SR,single,ポケカ
MジュカインEX SR: 1ED [XY7 083/081],107415,083/081,MジュカインEX SR :1ED,,single,ポケカ
MジュカインEX UR [85/98]【英語版】,504636,85/98,MジュカインEX,UR,single,ポケカ
MジュカインEX [CP4 007/131],391029,007/131,MジュカインEX,,single,ポケカ
MジュカインEX [XY 007/171],385863,007/171,MジュカインEX,,single,ポケカ
MスピアーEX P [XY158]【英語版】,509330,XY158,MスピアーEX,P,single,ポケカ
MスピアーEX [CP4 002/131],391024,002/131,MスピアーEX,,single,ポケカ
MタブンネEX [XYH 012/026],381378,012/026,MタブンネEX,,single,ポケカ
MチルタリスEX RR [XY10 054/078],389609,054/078,MチルタリスEX,RR,single,ポケカ
MチルタリスEX RR: 1ED [XY10 054/078],389608,054/078,MチルタリスEX RR :1ED,,single,ポケカ
MチルタリスEX SR: 1ED [XY10 084/078],106709,084/078,MチルタリスEX SR :1ED,,single,ポケカ
MチルタリスEX UR [121/124]【英語版】,504609,121/124,MチルタリスEX,UR,single,ポケカ
MディアンシーEX P [XY-P 093],411745,093/XY-P,MディアンシーEX,P,single,ポケカ
MディアンシーEX P [XY44]【英語版】,509289,XY44,MディアンシーEX,P,single,ポケカ
MデンリュウEX RR [XY7 028/081],385414,028/081,MデンリュウEX,RR,single,ポケカ
MデンリュウEX RR: 1ED [XY7 028/081],385413,028/081,MデンリュウEX RR :1ED,,single,ポケカ
MデンリュウEX SR [XY7 086/081],385525,086/081,MデンリュウEX,SR,single,ポケカ
MデンリュウEX SR: 1ED [XY7 086/081],107410,086/081,MデンリュウEX SR :1ED,,single,ポケカ
MデンリュウEX UR [88/98]【英語版】,504639,88/98,MデンリュウEX,UR,single,ポケカ
MハガネールEX RR [XY11 033/054],812056,033/054,MハガネールEX,RR,single,ポケカ
MハガネールEX RR: 1ED [XY11 033/054],387233,033/054,MハガネールEX RR :1ED,,single,ポケカ
MハガネールEX SR: 1ED [XY11-2 057/054],106690,057/054,MハガネールEX SR :1ED,,single,ポケカ
MハガネールEX UR [109/114]【英語版】,504596,109/114,MハガネールEX,UR,single,ポケカ
MハッサムEX RR [XY9 058/080],390846,058/080,MハッサムEX,RR,single,ポケカ
MハッサムEX RR: 1ED [XY9 058/080],390845,058/080,MハッサムEX RR :1ED,,single,ポケカ
MハッサムEX SR [XY9 087/080],390893,087/080,MハッサムEX,SR,single,ポケカ
MハッサムEX SR: 1ED [XY9 087/080],107347,087/080,MハッサムEX SR :1ED,,single,ポケカ
MハッサムEX UR [120/122]【英語版】,504620,120/122,MハッサムEX,UR,single,ポケカ
MバクーダEX P [XY198]【英語版】,739392,XY198,MバクーダEX,P,single,ポケカ
MバクーダEX P [XY198a]【英語版】,509277,XY198A,MバクーダEX,P,single,ポケカ
MバクーダEX [XY 013/171],385869,013/171,MバクーダEX,,single,ポケカ
MバクーダEX [XY-BEST 172/171],106281,172/171,MバクーダEX,,single,ポケカ
MバシャーモEX P [XY-P 138],411782,138/XY-P,MバシャーモEX,P,single,ポケカ
MバシャーモEX P [XY86]【英語版】,509307,XY86,MバシャーモEX,P,single,ポケカ
MバンギラスEX RR [XY7 043/081],385444,043/081,MバンギラスEX,RR,single,ポケカ
MバンギラスEX RR: 1ED [XY7 043/081],385443,043/081,MバンギラスEX RR :1ED,,single,ポケカ
MバンギラスEX SR [XY7 090/081],385529,090/081,MバンギラスEX,SR,single,ポケカ
MバンギラスEX SR: 1ED [XY7 090/081],107411,090/081,MバンギラスEX SR :1ED,,single,ポケカ
MバンギラスEX UR [92/98]【英語版】,504643,92/98,MバンギラスEX,UR,single,ポケカ
MピジョットEX RR: 1ED [CP6 063/087],106659,063/087,MピジョットEX RR :1ED,,single,ポケカ
MピジョットEX SR: 1ED [CP6 097/087],91471,097/087,MピジョットEX SR :1ED,,single,ポケカ
MピジョットEX UR [105/108]【英語版】,504586,105/108,MピジョットEX,UR,single,ポケカ
MフシギバナEX RR [XY1 002/060],379668,002/060,MフシギバナEX,RR,single,ポケカ
MフシギバナEX RR: 1ED [CP6 002/087],106319,002/087,MフシギバナEX RR :1ED,,single,ポケカ
MフシギバナEX RR: 1ED [XY1 002/060],379667,002/060,MフシギバナEX RR :1ED,,single,ポケカ
MフシギバナEX SR: 1ED [CP6 089/087],91468,089/087,MフシギバナEX SR :1ED,,single,ポケカ
MフシギバナEX UR [100/108]【英語版】,504581,100/108,MフシギバナEX,UR,single,ポケカ
MフシギバナEX [20th 002/072],381430,002/072,MフシギバナEX,,single,ポケカ
MフーディンEX RR [XY10 024/078],389552,024/078,MフーディンEX,RR,single,ポケカ
MフーディンEX RR: 1ED [XY10 024/078],389551,024/078,MフーディンEX RR :1ED,,single,ポケカ
MフーディンEX SR [XY10 081/078],389654,081/078,MフーディンEX,SR,single,ポケカ
MフーディンEX SR: 1ED [XY10 081/078],91485,081/078,MフーディンEX SR :1ED,,single,ポケカ
MフーディンEX UR [118/124]【英語版】,504606,118/124,MフーディンEX,UR,single,ポケカ
MフーディンEX [XY 041/171],385895,041/171,MフーディンEX,,single,ポケカ
MプテラEX P [XY-P 183],413369,183/XY-P,MプテラEX,P,single,ポケカ
MプテラEX P [XY98]【英語版】,739318,XY98,MプテラEX,P,single,ポケカ
MヘラクロスEX HR [112/111]【英語版】,504913,112/111,MヘラクロスEX,HR,single,ポケカ
MヘラクロスEX RR [XY3 005/096],390221,005/096,MヘラクロスEX,RR,single,ポケカ
MヘラクロスEX RR: 1ED [XY3 005/096],390220,005/096,MヘラクロスEX RR :1ED,,single,ポケカ
MヘラクロスEX UR [XY3 104/096],390404,104/096,MヘラクロスEX,UR,single,ポケカ
MヘラクロスEX UR: 1ED [XY3 104/096],108481,104/096,MヘラクロスEX UR :1ED,,single,ポケカ
MヘルガーEX RR [XY8 010/059],390001,010/059,MヘルガーEX,RR,single,ポケカ
MヘルガーEX RR: 1ED [XY8 010/059],390000,010/059,MヘルガーEX RR :1ED,,single,ポケカ
MヘルガーEX SR: 1ED [XY8-R 061/059],107357,061/059,MヘルガーEX SR :1ED,,single,ポケカ
MヘルガーEX UR [154/162]【英語版】,504624,154/162,MヘルガーEX,UR,single,ポケカ
MボスゴドラEX RR [XY5 046/070],381592,046/070,MボスゴドラEX,RR,single,ポケカ
MボスゴドラEX RR: 1ED [XY5 046/070],381591,046/070,MボスゴドラEX RR :1ED,,single,ポケカ
MボスゴドラEX SR [XY5 076/070],381645,076/070,MボスゴドラEX,SR,single,ポケカ
MボスゴドラEX SR: 1ED [XY5-G 076/070],108427,076/070,MボスゴドラEX SR :1ED,,single,ポケカ
MボスゴドラEX UR [154/160]【英語版】,504784,154/160,MボスゴドラEX,UR,single,ポケカ
MボーマンダEX P [XY-P 257],413444,257/XY-P,MボーマンダEX,P,single,ポケカ
MボーマンダEX P [XY171]【英語版】,509333,XY171,MボーマンダEX,P,single,ポケカ
MミュウツーEX RR [XY8 026/059],389893,026/059,MミュウツーEX,RR,single,ポケカ
MミュウツーEX RR [XY8 028/059],390036,028/059,MミュウツーEX,RR,single,ポケカ
MミュウツーEX RR: 1ED [XY8 026/059],389892,026/059,MミュウツーEX RR :1ED,,single,ポケカ
MミュウツーEX RR: 1ED [XY8 028/059],390035,028/059,MミュウツーEX RR :1ED,,single,ポケカ
MミュウツーEX RR: 25thホロ [028/059],428826,028/059,MミュウツーEX RR :25thホロ,,single,ポケカ
MミュウツーEX SR [XY8 063/059],389960,063/059,MミュウツーEX,SR,single,ポケカ
MミュウツーEX UR [159/162]【英語版】,504629,159/162,MミュウツーEX,UR,single,ポケカ
MミュウツーEX UR [160/162]【英語版】,504630,160/162,MミュウツーEX,UR,single,ポケカ
MミュウツーEX [CP4 051/131],391073,051/131,MミュウツーEX,,single,ポケカ
MミュウツーEX [CP4 052/131],391074,052/131,MミュウツーEX,,single,ポケカ
MミュウツーEX [XY 043/171],385897,043/171,MミュウツーEX,,single,ポケカ
MミュウツーEX 赤い閃光 SR: 1ED [XY8-R 063/059],91503,063/059,MミュウツーEX 赤い閃光 SR :1ED,,single,ポケカ
MミュウツーEX 青い衝撃 SR: 1ED [XY8-B 063/059],91507,063/059,MミュウツーEX 青い衝撃 SR :1ED,,single,ポケカ
MメタグロスEX P [XY-P 102],411747,102/XY-P,MメタグロスEX,P,single,ポケカ
MメタグロスEX P [XY35]【英語版】,509287,XY35,MメタグロスEX,P,single,ポケカ
MヤドランEX P [XY-P 263],413447,263/XY-P,MヤドランEX,P,single,ポケカ
MライボルトEX HR [120/119]【英語版】,504888,120/119,MライボルトEX,HR,single,ポケカ
MライボルトEX RR [XY4 024/088],390529,024/088,MライボルトEX,RR,single,ポケカ
MライボルトEX RR: 1ED [XY4 024/088],390528,024/088,MライボルトEX RR :1ED,,single,ポケカ
MライボルトEX UR [24a/119]【英語版】,746484,24A/119,MライボルトEX,UR,single,ポケカ
MライボルトEX UR [XY4 096/088],390656,096/088,MライボルトEX,UR,single,ポケカ
MライボルトEX UR: 1ED [XY4 096/088],108437,096/088,MライボルトEX UR :1ED,,single,ポケカ
MライボルトEX [CP4 043/131],391065,043/131,MライボルトEX,,single,ポケカ
MライボルトEX [MMB 014/049],381115,014/049,MライボルトEX,,single,ポケカ
MライボルトEX [XY 035/171],385889,035/171,MライボルトEX,,single,ポケカ
MライボルトEX [XY-BEST 174/171],106269,174/171,MライボルトEX,,single,ポケカ
MラグラージEX P [XY-P],413470,XY-P/XY-P,MラグラージEX,P,single,ポケカ
MラグラージEX P [XY87]【英語版】,509308,XY87,MラグラージEX,P,single,ポケカ
MラティオスEX RR [XY6 049/078],382143,049/078,MラティオスEX,RR,single,ポケカ
MラティオスEX RR: 1ED [XY6 049/078],382142,049/078,MラティオスEX RR :1ED,,single,ポケカ
MラティオスEX SR [XY6 083/078],382205,083/078,MラティオスEX,SR,single,ポケカ
MラティオスEX SR: 1ED [XY6 083/078],107422,083/078,MラティオスEX SR :1ED,,single,ポケカ
MラティオスEX UR [102/108]【英語版】,504690,102/108,MラティオスEX,UR,single,ポケカ
MリザードンEX HR [107/106]【英語版】,505013,107/106,MリザードンEX,HR,single,ポケカ
MリザードンEX HR [108/106]【英語版】,505014,108/106,MリザードンEX,HR,single,ポケカ
MリザードンEX RR [XY2 055/080],380746,055/080,MリザードンEX,RR,single,ポケカ
MリザードンEX RR: 1ED [CP6 013/087],106311,013/087,MリザードンEX RR :1ED,,single,ポケカ
MリザードンEX RR: 1ED [XY2 055/080],108500,055/080,MリザードンEX RR :1ED,,single,ポケカ
MリザードンEX SR: 1ED [CP6 091/087],91459,091/087,MリザードンEX SR :1ED,,single,ポケカ
MリザードンEX UR [101/108]【英語版】,504582,101/108,MリザードンEX,UR,single,ポケカ
MリザードンEX UR [XY2 089/080],380802,089/080,MリザードンEX,UR,single,ポケカ
MリザードンEX UR: 1ED [XY2 088/080],93137,088/080,MリザードンEX UR :1ED,,single,ポケカ
MリザードンEX UR: 1ED [XY2 089/080],91546,089/080,MリザードンEX UR :1ED,,single,ポケカ
MリザードンEX [XY-20th 011/072],91488,011/072,MリザードンEX,,single,ポケカ
MリザードンEX [XYA 002/021],108484,002/021,MリザードンEX,,single,ポケカ
MルカリオEX HR [113/111]【英語版】,504914,113/111,MルカリオEX,HR,single,ポケカ
MルカリオEX P [55a/111]【英語版】,509269,55A/111,MルカリオEX,P,single,ポケカ
MルカリオEX RR [XY3 053/096],390316,053/096,MルカリオEX,RR,single,ポケカ
MルカリオEX RR: 1ED [XY3 053/096],390315,053/096,MルカリオEX RR :1ED,,single,ポケカ
MルカリオEX UR [XY3 105/096],390405,105/096,MルカリオEX,UR,single,ポケカ
MルカリオEX UR: 1ED [XY3 105/096],91542,105/096,MルカリオEX UR :1ED,,single,ポケカ
MルカリオEX [CP4 075/131],391097,075/131,MルカリオEX,,single,ポケカ
MルカリオEX [XY 063/171],385916,063/171,MルカリオEX,,single,ポケカ
MルカリオEX [XY-BEST 176/171],91456,176/171,MルカリオEX,,single,ポケカ
MレックウザEX HR [98/98]【英語版】,504649,98/98,MレックウザEX,HR,single,ポケカ
MレックウザEX RR [XY6 062/078],382169,062/078,MレックウザEX,RR,single,ポケカ
MレックウザEX RR: 1ED [XY6 062/078],382168,062/078,MレックウザEX RR :1ED,,single,ポケカ
MレックウザEX SR [XY6 086/078],382208,086/078,MレックウザEX,SR,single,ポケカ
MレックウザEX SR: 1ED [XY6 086/078],91521,086/078,MレックウザEX SR :1ED,,single,ポケカ
MレックウザEX UR [105/108]【英語版】,504693,105/108,MレックウザEX,UR,single,ポケカ
MレックウザEX UR [XY7 095/081],385534,095/081,MレックウザEX,UR,single,ポケカ
MレックウザEX UR: 1ED [XY7 095/081],91515,095/081,MレックウザEX UR :1ED,,single,ポケカ
MレックウザEX [76/108]【英語版】,489511,76/108,MレックウザEX,,single,ポケカ
MレックウザEX [CP4 097/131],391119,097/131,MレックウザEX,,single,ポケカ
MレックウザEX [XY 020/048],635063,020/048,MレックウザEX,,single,ポケカ
MレックウザEX [XY 105/171],385957,105/171,MレックウザEX,,single,ポケカ
MレックウザEX [XYD 006/018],381012,006/018,MレックウザEX,,single,ポケカ
MレックウザEX: プロモ [S8a-P 024/025],98534,024/025,MレックウザEX,プロモ,single,ポケカ
N P [BW-P 180/BW-P],415528,180/BW-P,N,P,single,ポケカ
N P [BW-P 218/BW-P],415552,218/BW-P,N,P,single,ポケカ
N P [BW100]【英語版】,745760,BW100,N,P,single,ポケカ
N SR: 1ED [BW2 071/066],91636,071/066,N SR :1ED,,single,ポケカ
N U [XY10 076/078],389650,076/078,N,U,single,ポケカ
N U: 1ED [BW2 066/066],405794,066/066,N U :1ED,,single,ポケカ
N UR [101/101]【英語版】,511433,101/101,N,UR,single,ポケカ
N UR [105a/124]【英語版】,487840,105A/124,N,UR,single,ポケカ
N [101/101]【英語版】,895666,101/101,N,,single,ポケカ
N [BKR 016/018],409021,016/018,N,,single,ポケカ
N [BKZ 016/018],409039,016/018,N,,single,ポケカ
N [M6a 153/103],892651,153/103,N,,single,ポケカ
N [MDB 041/046],410305,041/046,N,,single,ポケカ
N [SMF 016/020],391878,016/020,N,,single,ポケカ
N [SMG 026/041],402237,026/041,N,,single,ポケカ
N [XY 036/048],635078,036/048,N,,single,ポケカ
N [XY 139/171],385982,139/171,Ｎ,,single,ポケカ
N [XY-BEST 180/171],91451,180/171,N,,single,ポケカ
N [XYG 014/019],381361,014/019,N,,single,ポケカ
N: ミラー [XY 139/171],386098,139/171,Ｎ :ミラー,,single,ポケカ
No.1 トレーナー 1997年: 旧裏/プロモ [PMCG-P],93309,PMCG-P/PMCG-P,No.1 トレーナー 1997年: 旧裏/,プロモ,single,ポケカ
No.1トレーナー P: 旧裏 [PMCG-P](プロモーションカード「リザードンメガバトル・カメックスメガバトル 優勝者」),467534,PMCG-P/PMCG-P,No.1トレーナー P : 旧裏,プロモ,single,ポケカ
No.1トレーナー P: 旧裏 [PMCG-P](プロモーションカード「第1回 ポケモンカードトーナメント 優勝者」),467410,PMCG-P/PMCG-P,No.1トレーナー P : 旧裏,プロモ,single,ポケカ
No.2トレーナー P: 旧裏 [PMCG-P](プロモーションカード「リザードンメガバトル・カメックスメガバトル」),467535,PMCG-P/PMCG-P,No.2トレーナー P : 旧裏,プロモ,single,ポケカ
No.2トレーナー P: 旧裏 [PMCG-P](プロモーションカード「第2回 ポケモンカードトーナメント」),467416,PMCG-P/PMCG-P,No.2トレーナー P : 旧裏,プロモ,single,ポケカ
No.2トレーナー: 旧裏 [PMCG-P],467411,PMCG-P/PMCG-P,No.2トレーナー : 旧裏,プロモ,single,ポケカ
No.3 トレーナー 1997年: 旧裏/プロモ [PMCG-P],93310,PMCG-P/PMCG-P,No.3 トレーナー 1997年 : 旧裏/,プロモ,single,ポケカ
No.3トレーナー P: 旧裏 [PMCG-P](プロモーションカード「リザードンメガバトル・カメックスメガバトル」),467536,PMCG-P/PMCG-P,No.3トレーナー P : 旧裏,プロモ,single,ポケカ
No.3トレーナー P: 旧裏 [PMCG-P](プロモーションカード「第1回 ポケモンカードトーナメント」),467412,PMCG-P/PMCG-P,No.3トレーナー P : 旧裏,プロモ,single,ポケカ
Nのギアル C [SV9 064/100],502965,064/100,Nのギアル,C,single,ポケカ
Nのギギアル C [SV9 065/100],502966,065/100,Nのギギアル,C,single,ポケカ
Nのギギギアル U [SV9 066/100],502967,066/100,Nのギギギアル,U,single,ポケカ
Nのシンボラー C [SV9 040/100],485646,040/100,Nのシンボラー,C,single,ポケカ
Nのゼクロム AR [M2a 210/193],727387,210/193,Nのゼクロム,AR,single,ポケカ
Nのゼクロム P [MEP EN 031]【英語版】(メガエボリューション「アセンデッド ヒーローズ エリートトレーナーボックス」),755693,MEPEN031,Nのゼクロム,P,single,ポケカ
Nのゼクロム P [MEP EN 031]【英語版】(メガエボリューション「アセンデッド ヒーローズ ポケモンセンター エリートトレーナーボックス」),755694,MEPEN031,Nのゼクロム,P,single,ポケカ
Nのゼクロム [M2a 129/193],730171,129/193,Nのゼクロム,,single,ポケカ
Nのゼクロム: エネルギーマークミラー [M2a 129/193],732807,129/193,Nのゼクロム :エネルギーマークミラー,,single,ポケカ
Nのゼクロム: モンスターボール/オシャボミラー [M2a 129/193],732806,129/193,Nのゼクロム :モンスターボール/オシャボミラー,,single,ポケカ
Nのゾロア AR [SV9 108/100],506148,108/100,Nのゾロア,AR,single,ポケカ
Nのゾロア C [SV9 060/100],485648,060/100,Nのゾロア,C,single,ポケカ
Nのゾロア P [SV-P 200],506838,200/SV-P,Nのゾロア,P,single,ポケカ
Nのゾロア P [SVP EN 189]【英語版】(エリートトレーナボックス「ジャーニートゥゲザー 」),590140,SVPEN189,Nのゾロア,P,single,ポケカ
Nのゾロア P [SVP EN 189]【英語版】(ポケモンセンター エリートトレーナボックス「ジャーニートゥゲザー 」),590141,SVPEN189,Nのゾロア,P,single,ポケカ
Nのゾロア [M2a 111/193],730155,111/193,Nのゾロア,,single,ポケカ
Nのゾロア [MC 469/742],740671,469/742,Nのゾロア,,single,ポケカ
Nのゾロア: エネルギーマークミラー [M2a 111/193],732783,111/193,Nのゾロア :エネルギーマークミラー,,single,ポケカ
Nのゾロア: モンスターボール/オシャボミラー [M2a 111/193],732782,111/193,Nのゾロア :モンスターボール/オシャボミラー,,single,ポケカ
Nのゾロアークex HR [JTG EN 189/159]【英語版】,554386,189/159,Nのゾロアークex,HR,single,ポケカ
Nのゾロアークex RR [M2a 112/193],727386,112/193,Nのゾロアークex,RR,single,ポケカ
Nのゾロアークex RR [SV9 061/100],485649,061/100,Nのゾロアークex,RR,single,ポケカ
Nのゾロアークex SAR [M2a 242/193],730961,242/193,Nのゾロアークex,SAR,single,ポケカ
Nのゾロアークex SAR [SV9 127/100],506159,127/100,Nのゾロアークex,SAR,single,ポケカ
Nのゾロアークex SIR [ASC 286/217]【英語版】,757488,286/217,Nのゾロアークex,SIR,single,ポケカ
Nのゾロアークex SIR [JTG EN 185/159]【英語版】,554382,185/159,Nのゾロアークex,SIR,single,ポケカ
Nのゾロアークex SR [SV9 117/100],506153,117/100,Nのゾロアークex,SR,single,ポケカ
Nのゾロアークex UR [JTG EN 175/159]【英語版】,554372,175/159,Nのゾロアークex,UR,single,ポケカ
